tipo_post;post_id;post_link;link;link_domain;UrlCompleta;titulo_facebook
photo;71339054219_10153112881844220;https://www.facebook.com/71339054219/posts/10153112881844220;http://a.ln.com.ar/1N4pEKR;;URL NULL;
photo;71339054219_10153112883394220;https://www.facebook.com/71339054219/posts/10153112883394220;http://a.ln.com.ar/1KM4m4y;;URL NULL;
photo;71339054219_10153112884469220;https://www.facebook.com/71339054219/posts/10153112884469220;http://a.ln.com.ar/1K15H4L;;URL NULL;
photo;71339054219_10153112885879220;https://www.facebook.com/71339054219/posts/10153112885879220;http://a.ln.com.ar/1SVVDyA;;URL NULL;
link;71339054219_10153112889224220;https://www.facebook.com/71339054219/posts/10153112889224220;www.sodimac.com.ar/catalogo;sodimac.com.ar;OTRO MEDIO;
photo;71339054219_10153112904584220;https://www.facebook.com/71339054219/posts/10153112904584220;http://a.ln.com.ar/1KLO5zj;;URL NULL;
photo;71339054219_10153112919109220;https://www.facebook.com/71339054219/posts/10153112919109220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112919109220/?type=3;;URL NULL;
link;71339054219_10153112925549220;https://www.facebook.com/71339054219/posts/10153112925549220;http://a.ln.com.ar/1OKuDkD;;URL NULL;
link;71339054219_10153112941669220;https://www.facebook.com/71339054219/posts/10153112941669220;http://a.ln.com.ar/1MHFFtk;;URL NULL;
link;71339054219_10153112976124220;https://www.facebook.com/71339054219/posts/10153112976124220;http://a.ln.com.ar/1KLUhVn;;URL NULL;
video;71339054219_10153112992689220;https://www.facebook.com/71339054219/posts/10153112992689220;https://www.facebook.com/lanacion/videos/10153112992689220/;;URL NULL;
link;71339054219_10153113005084220;https://www.facebook.com/71339054219/posts/10153113005084220;http://a.ln.com.ar/1KMaMRl;;URL NULL;
link;71339054219_10153113034514220;https://www.facebook.com/71339054219/posts/10153113034514220;http://a.ln.com.ar/1IGVnlK;;URL NULL;
link;71339054219_10153113065689220;https://www.facebook.com/71339054219/posts/10153113065689220;http://a.ln.com.ar/1KMjqzd;;URL NULL;
link;71339054219_10153113104279220;https://www.facebook.com/71339054219/posts/10153113104279220;http://a.ln.com.ar/1IGOrVP;;URL NULL;
link;71339054219_10153113134899220;https://www.facebook.com/71339054219/posts/10153113134899220;http://a.ln.com.ar/1MHLkiZ;;URL NULL;
link;71339054219_10153113169969220;https://www.facebook.com/71339054219/posts/10153113169969220;http://a.ln.com.ar/1MI32Tz;;URL NULL;
photo;71339054219_10153113224449220;https://www.facebook.com/71339054219/posts/10153113224449220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153113224449220/?type=3;;URL NULL;
link;71339054219_10153113231634220;https://www.facebook.com/71339054219/posts/10153113231634220;http://a.ln.com.ar/1IHlfxT;;URL NULL;
link;71339054219_10153113294419220;https://www.facebook.com/71339054219/posts/10153113294419220;http://a.ln.com.ar/1OL82El;;URL NULL;
video;71339054219_10153113313144220;https://www.facebook.com/71339054219/posts/10153113313144220;https://www.facebook.com/lanacion/videos/10153113313144220/;;URL NULL;
video;71339054219_10153113323124220;https://www.facebook.com/71339054219/posts/10153113323124220;http://bit.ly/1Hr6ji3;www.tuentrada.com;OTRO MEDIO;
link;71339054219_10153113323339220;https://www.facebook.com/71339054219/posts/10153113323339220;http://a.ln.com.ar/1KMFM3z;;URL NULL;
